work_od,rho_3_od,T_3_od,P_3_od,alpha_3_od,flow_coeff_2_od,incidence_2,v_2_od,C_w_3_od,C_a_3_od,U_mean_od,flow_coeff_3_od,M_2_rel_od,M_3_rel_od
211506.2932301654,1.5719843217744511,1018.8297375316537,459.6547153257562,25.712087905401166,0.5565109381388083,7.128453906885241,250.58199471470238,121.61096507516555,252.55255255255256,338.2657868315979,0.7466098032500201,0.38256072071521846,0.8402691187042479
211605.33493251394,1.5698282650057878,1018.3637367388213,458.8143230829907,28.355768139252273,0.5311467743207433,7.690282583945148,236.15554274499164,134.0337805193658,248.34834834834834,338.2657868315979,0.7341811026013871,0.35878183117099366,0.8548027070636796
211605.33493251394,1.5698282650057878,1018.3637367388213,458.8143230829907,28.355768139252273,0.5311467743207433,7.690282583945148,236.15554274499164,134.0337805193658,248.34834834834834,338.2657868315979,0.7341811026013871,0.35878183117099366,0.8548027070636796
211903.50202659657,1.5670622660708633,1017.7652804421346,457.736749642297,31.052472349239807,0.5205844612698096,8.244556700566221,225.81174350320757,146.82027082224693,243.84384384384384,338.2657868315979,0.7208646376207091,0.343066903669843,0.8699750575184791
211286.19600675654,1.5622883913505137,1016.7307379500043,455.87844253118885,22.72059950118107,0.5684872282466055,6.760632933135177,259.883021389369,111.53600555680993,266.3663663663664,338.2657868315979,0.7874469625240997,0.39505316027105364,0.8380797906439218
211464.44314156825,1.5597784749484978,1016.1859705291861,454.9021759689329,25.421770163049917,0.5770016278284797,7.178339945498131,253.6426378354057,124.89130542302979,262.7627627627628,338.2657868315979,0.7767937905395573,0.38747644464089903,0.8539356883488747
211464.44314156825,1.5597784749484978,1016.1859705291861,454.9021759689329,25.421770163049917,0.5601501263497081,7.24062587082706,249.28280771351643,124.89130542302979,262.7627627627628,338.2657868315979,0.7767937905395573,0.3789395723582832,0.8539356883488747
211464.44314156825,1.5597784749484978,1016.1859705291861,454.9021759689329,25.421770163049917,0.5601501263497081,7.24062587082706,249.28280771351643,124.89130542302979,262.7627627627628,338.2657868315979,0.7767937905395573,0.3789395723582832,0.8539356883488747
211464.44314156825,1.5597784749484978,1016.1859705291861,454.9021759689329,25.421770163049917,0.5439484906694214,7.297066703879288,245.14298485625537,124.89130542302979,262.7627627627628,338.2657868315979,0.7767937905395573,0.37082813794769653,0.8539356883488747
211464.44314156825,1.5597784749484978,1016.1859705291861,454.9021759689329,25.421770163049917,0.5439484906694214,7.297066703879288,245.14298485625537,124.89130542302979,262.7627627627628,338.2657868315979,0.7767937905395573,0.37082813794769653,0.8539356883488747
211856.31945969362,1.5565793605622151,1015.4907675969987,453.6585952990121,28.17846529264762,0.5504966813419491,7.758323227186647,238.71469035771054,138.6736629197494,258.85885885885887,338.2657868315979,0.7652528542229695,0.36287477467659335,0.8705215168899353
211856.31945969362,1.5565793605622151,1015.4907675969987,453.6585952990121,28.17846529264762,0.5345742593790539,7.83450006199984,234.53743681913087,138.6736629197494,258.85885885885887,338.2657868315979,0.7652528542229695,0.35478511051687767,0.8705215168899353
212092.77428686293,1.5539030896178645,1014.9084522190927,452.61891194018693,30.852517865887144,0.5239437878229507,8.415746372865165,223.99252577037885,151.76240418385117,254.05405405405406,338.2657868315979,0.7510486249102462,0.3388338087436463,0.8857117679558035
211191.46805331064,1.5500075243491163,1014.0596410184816,451.10662115689667,22.426635996224455,0.5881148596268804,6.803510553861159,262.93402229818855,114.14708717592106,276.5765765765766,338.2657868315979,0.8176309498136368,0.39992526439566334,0.8512252952323471
211191.46805331064,1.5500075243491163,1014.0596410184816,451.10662115689667,22.426635996224455,0.5708859740776687,6.853600203704907,258.55261224219976,114.14708717592106,276.5765765765766,338.2657868315979,0.8176309498136368,0.3913171455730149,0.8512252952323471
211191.46805331064,1.5500075243491163,1014.0596410184816,451.10662115689667,22.426635996224455,0.5543235312306084,6.897931524969046,254.39541558932714,114.14708717592106,276.5765765765766,338.2657868315979,0.8176309498136368,0.38314065673633124,0.8512252952323471
211621.51410792253,1.5465552462765766,1013.306228945848,449.76747650028835,25.226438989006738,0.5794899103436539,7.287001306517936,252.1443186040439,128.7466988114403,273.2732732732733,338.2657868315979,0.8078655421611395,0.38351401770755683,0.8689400003412793
211621.51410792253,1.5465552462765766,1013.306228945848,449.76747650028835,25.226438989006738,0.5794899103436539,7.287001306517936,252.1443186040439,128.7466988114403,273.2732732732733,338.2657868315979,0.8078655421611395,0.38351401770755683,0.8689400003412793
211621.51410792253,1.5465552462765766,1013.306228945848,449.76747650028835,25.226438989006738,0.5625136935744197,7.35601680812136,247.70634966901517,128.7466988114403,273.2732732732733,338.2657868315979,0.8078655421611395,0.37490142084501205,0.8689400003412793
211621.51410792253,1.5465552462765766,1013.306228945848,449.76747650028835,25.226438989006738,0.5625136935744197,7.35601680812136,247.70634966901517,128.7466988114403,273.2732732732733,338.2657868315979,0.8078655421611395,0.37490142084501205,0.8689400003412793
211621.51410792253,1.5465552462765766,1013.306228945848,449.76747650028835,25.226438989006738,0.5461941458476303,7.419195681568567,243.49147220550478,128.7466988114403,273.2732732732733,338.2657868315979,0.8078655421611395,0.3667184109996484,0.8689400003412793
211621.51410792253,1.5465552462765766,1013.306228945848,449.76747650028835,25.226438989006738,0.5461941458476303,7.419195681568567,243.49147220550478,128.7466988114403,273.2732732732733,338.2657868315979,0.8078655421611395,0.3667184109996484,0.8689400003412793
211934.28667969364,1.5435013887376139,1012.6388315215517,448.58371006728385,27.953598204884592,0.5695031697916021,7.807195590093354,241.4033996353385,142.78716642899616,269.0690690690691,338.2657868315979,0.7954368415125066,0.3671769730723046,0.8854500095794102
211934.28667969364,1.5435013887376139,1012.6388315215517,448.58371006728385,27.953598204884592,0.5528195156182019,7.897808855797017,236.9242082333874,142.78716642899616,269.0690690690691,338.2657868315979,0.7954368415125066,0.35858274290490283,0.8854500095794102
211934.28667969364,1.5435013887376139,1012.6388315215517,448.58371006728385,27.953598204884592,0.5367812136666453,7.98267061080109,232.66603966282102,142.78716642899616,269.0690690690691,338.2657868315979,0.7954368415125066,0.35041440912032873,0.8854500095794102
210047.56177583613,1.5406499492502916,1012.0148758389842,447.47911145823696,32.7153209360539,0.6158292643433393,5.224594487257264,280.0100009653326,165.89639271274996,258.25825825825825,308.7930031331669,0.8363475067046271,0.42803496791574225,0.8683774598757494
211285.66305718975,1.5367533481761315,1011.1609704168181,445.97073696109146,22.225168820672472,0.6073780776428297,6.833983926854586,266.0592085478844,117.30521024590837,287.08708708708707,338.2657868315979,0.848702701435219,0.40492421168277104,0.8656693977234053
211285.66305718975,1.5367533481761315,1011.1609704168181,445.97073696109146,22.225168820672472,0.5893512030822877,6.894727455620512,261.3790466536345,117.30521024590837,287.08708708708707,338.2657868315979,0.848702701435219,0.39580877562786926,0.8656693977234053
211285.66305718975,1.5367533481761315,1011.1609704168181,445.97073696109146,22.225168820672472,0.5720307063016858,6.949725042381857,256.938301975087,117.30521024590837,287.08708708708707,338.2657868315979,0.848702701435219,0.3871545626622209,0.8656693977234053
211623.73490027938,1.5334950649215822,1010.4458378441656,444.7104335372147,24.990096605176685,0.5984706252469891,7.318855895608149,255.09835671244255,132.13087035914504,283.4834834834835,338.2657868315979,0.8380495294506766,0.388242532769789,0.8832328663380261
211623.73490027938,1.5334950649215822,1010.4458378441656,444.7104335372147,24.990096605176685,0.5984706252469891,7.318855895608149,255.09835671244255,132.13087035914504,283.4834834834835,338.2657868315979,0.8380495294506766,0.388242532769789,0.8832328663380261
211623.73490027938,1.5334950649215822,1010.4458378441656,444.7104335372147,24.990096605176685,0.5807081223075253,7.4001388715642165,250.3568399684935,132.13087035914504,283.4834834834835,338.2657868315979,0.8380495294506766,0.3791177432416958,0.8832328663380261
211623.73490027938,1.5334950649215822,1010.4458378441656,444.7104335372147,24.990096605176685,0.5807081223075253,7.4001388715642165,250.3568399684935,132.13087035914504,283.4834834834835,338.2657868315979,0.8380495294506766,0.3791177432416958,0.8832328663380261
211623.73490027938,1.5334950649215822,1010.4458378441656,444.7104335372147,24.990096605176685,0.5636416378237523,7.4757171200217805,245.85330685000707,132.13087035914504,283.4834834834835,338.2657868315979,0.8380495294506766,0.37045169506025755,0.8832328663380261
211623.73490027938,1.5334950649215822,1010.4458378441656,444.7104335372147,24.990096605176685,0.5636416378237523,7.4757171200217805,245.85330685000707,132.13087035914504,283.4834834834835,338.2657868315979,0.8380495294506766,0.37045169506025755,0.8832328663380261
212031.56712329932,1.529992733114178,1009.6760106124088,443.3567272435326,27.75103348671465,0.5881567772305127,7.838957172585367,244.20518845075213,146.94236897217667,279.2792792792793,338.2657868315979,0.8256208288020438,0.3716638637014755,0.9006690556138873
212031.56712329932,1.529992733114178,1009.6760106124088,443.3567272435326,27.75103348671465,0.5707003874868876,7.943548738720189,239.4189701705152,146.94236897217667,279.2792792792793,338.2657868315979,0.8256208288020438,0.3625544230056563,0.9006690556138873
212031.56712329932,1.529992733114178,1009.6760106124088,443.3567272435326,27.75103348671465,0.5539280212433683,8.042673105372714,234.8682713522861,146.94236897217667,279.2792792792793,338.2657868315979,0.8256208288020438,0.35389944659727246,0.9006690556138873
209750.38579390346,1.5303823267462149,1009.7617029643039,443.5072602947769,29.80101852950377,0.6509956181284994,5.003585382513009,293.4503255705994,156.68352126545574,273.5735735735736,308.7930031331669,0.8859448588464132,0.44888280704557054,0.8685766978040117
209750.38579390346,1.5303823267462149,1009.7617029643039,443.5072602947769,29.80101852950377,0.6314811355409142,5.0052085144755125,289.35566945030916,156.68352126545574,273.5735735735736,308.7930031331669,0.8859448588464132,0.44037985750461106,0.8685766978040117
210200.17136363706,1.5267518103379745,1008.9625949183445,442.1049794178513,32.55587432381352,0.6362575208522977,5.348720477650531,280.86784797882854,171.2098468219922,268.16816816816817,308.7930031331669,0.8684399110316652,0.4296357407831641,0.8848790390918638
210200.17136363706,1.5267518103379745,1008.9625949183445,442.1049794178513,32.55587432381352,0.617184832855431,5.357968675971279,276.78003408846905,171.2098468219922,268.16816816816817,308.7930031331669,0.8684399110316652,0.42124058672689385,0.8848790390918638
210200.17136363706,1.5267518103379745,1008.9625949183445,442.1049794178513,32.55587432381352,0.617184832855431,5.357968675971279,276.78003408846905,171.2098468219922,268.16816816816817,308.7930031331669,0.8684399110316652,0.42124058672689385,0.8848790390918638
210537.60710910702,1.5236081224620772,1008.2696180051763,440.89163275220926,35.24886349116882,0.6014381564850367,5.741936638400489,264.23444031387805,185.05787841200964,261.8618618618618,308.7930031331669,0.848017471914459,0.40214703722340334,0.8999105180985113
210537.60710910702,1.5236081224620772,1008.2696180051763,440.89163275220926,35.24886349116882,0.6014381564850367,5.741936638400489,264.23444031387805,185.05787841200964,261.8618618618618,308.7930031331669,0.848017471914459,0.40214703722340334,0.8999105180985113
210537.60710910702,1.5236081224620772,1008.2696180051763,440.89163275220926,35.24886349116882,0.6014381564850367,5.741936638400489,264.23444031387805,185.05787841200964,261.8618618618618,308.7930031331669,0.848017471914459,0.40214703722340334,0.8999105180985113
211396.55102071643,1.5230815271106546,1008.1534450957051,440.68846806213315,22.04361846102146,0.6262675843846827,6.853505758295022,269.24442981386994,120.50085462103237,297.5975975975976,338.2657868315979,0.8797744530568014,0.4100288614855709,0.8804103323549985
211396.55102071643,1.5230815271106546,1008.1534450957051,440.68846806213315,22.04361846102146,0.6074308615874522,6.924649336267628,264.26026647858066,120.50085462103237,297.5975975975976,338.2657868315979,0.8797744530568014,0.4003953981709263,0.8804103323549985
211396.55102071643,1.5230815271106546,1008.1534450957051,440.68846806213315,22.04361846102146,0.5893420478700249,6.990113661812771,259.531154434099,120.50085462103237,297.5975975975976,338.2657868315979,0.8797744530568014,0.3912537306967553,0.8804103323549985
211396.55102071643,1.5230815271106546,1008.1534450957051,440.68846806213315,22.04361846102146,0.5893420478700249,6.990113661812771,259.531154434099,120.50085462103237,297.5975975975976,338.2657868315979,0.8797744530568014,0.3912537306967553,0.8804103323549985
211812.69968153117,1.5194164282867813,1007.3441400177517,439.2750925257593,24.8335457973756,0.6170831095076604,7.337880811403544,258.12989998138505,136.05323228318179,293.99399399399397,338.2657868315979,0.8691212810722588,0.3931026876876147,0.8988107723595863
211812.69968153117,1.5194164282867813,1007.3441400177517,439.2750925257593,24.8335457973756,0.6170831095076604,7.337880811403544,258.12989998138505,136.05323228318179,293.99399399399397,338.2657868315979,0.8691212810722588,0.3931026876876147,0.8988107723595863
211812.69968153117,1.5194164282867813,1007.3441400177517,439.2750925257593,24.8335457973756,0.5985226350930867,7.431064784346965,253.07981288455116,136.05323228318179,293.99399399399397,338.2657868315979,0.8691212810722588,0.3834552723314791,0.8988107723595863
211812.69968153117,1.5194164282867813,1007.3441400177517,439.2750925257593,24.8335457973756,0.5985226350930867,7.431064784346965,253.07981288455116,136.05323228318179,293.99399399399397,338.2657868315979,0.8691212810722588,0.3834552723314791,0.8988107723595863
211812.69968153117,1.5194164282867813,1007.3441400177517,439.2750925257593,24.8335457973756,0.5806991013602621,7.518740510941271,248.2829939698249,136.05323228318179,293.99399399399397,338.2657868315979,0.8691212810722588,0.3742966730567236,0.8988107723595863
211812.69968153117,1.5194164282867813,1007.3441400177517,439.2750925257593,24.8335457973756,0.5806991013602621,7.518740510941271,248.2829939698249,136.05323228318179,293.99399399399397,338.2657868315979,0.8691212810722588,0.3742966730567236,0.8988107723595863
212147.4468873063,1.5160615502442665,1006.6021943490412,437.98234349105314,27.568160656799396,0.5882078907558465,7.973638649333946,242.00618329705105,151.13667076429874,289.48948948948953,338.2657868315979,0.8558048160915809,0.3666770014738591,0.9161716656048543
212147.4468873063,1.5160615502442665,1006.6021943490412,437.98234349105314,27.568160656799396,0.5706915220036942,8.086568657767376,237.1586473756312,151.13667076429874,289.48948948948953,338.2657868315979,0.8558048160915809,0.3575262698423873,0.9161716656048543
209619.99797364778,1.519313556828044,1007.3214057930224,439.23543848856923,26.93119530369111,0.6851474298734895,4.771917275975909,307.598949022079,146.75952499161139,288.8888888888889,308.7930031331669,0.9355422109881992,0.4708534666487538,0.8688432234633694
209619.99797364778,1.519313556828044,1007.3214057930224,439.23543848856923,26.93119530369111,0.6643310468235901,4.773983287996309,303.2136608122927,146.75952499161139,288.8888888888889,308.7930031331669,0.9355422109881992,0.4617601642332355,0.8688432234633694
209619.99797364778,1.519313556828044,1007.3214057930224,439.23543848856923,26.93119530369111,0.6443494605390231,4.771575333597056,299.0737142141522,146.75952499161139,288.8888888888889,308.7930031331669,0.9355422109881992,0.4531431852428685,0.8688432234633694
209958.84136269536,1.516002125886978,1006.5890425365226,437.95945384503295,29.672854155986183,0.6715226805758565,5.1022644671031685,294.7351253812506,161.68926494205647,283.78378378378375,308.7930031331669,0.9190097602742704,0.45116232019035846,0.8852912856829959
209958.84136269536,1.516002125886978,1006.5890425365226,437.95945384503295,29.672854155986183,0.6511202493091388,5.112280623853394,290.3371793058715,161.68926494205647,283.78378378378375,308.7930031331669,0.9190097602742704,0.44215073700880675,0.8852912856829959
209958.84136269536,1.516002125886978,1006.5890425365226,437.95945384503295,29.672854155986183,0.6315360141519729,5.117451935587987,286.1824984512003,161.68926494205647,283.78378378378375,308.7930031331669,0.9190097602742704,0.4336109886811398,0.8852912856829959
209958.84136269536,1.516002125886978,1006.5890425365226,437.95945384503295,29.672854155986183,0.6127293679338551,5.117900025919468,282.25718004716475,161.68926494205647,283.78378378378375,308.7930031331669,0.9190097602742704,0.4255141350956414,0.8852912856829959
209958.84136269536,1.516002125886978,1006.5890425365226,437.95945384503295,29.672854155986183,0.6127293679338551,5.117900025919468,282.25718004716475,161.68926494205647,283.78378378378375,308.7930031331669,0.9190097602742704,0.4255141350956414,0.8852912856829959
210366.90941217652,1.5124225863499052,1005.7961833097072,436.5812042269115,32.41109531437159,0.6363793304679177,5.480197836197505,277.4850358517278,176.54926115199243,278.0780780780781,308.7930031331669,0.9005323153587032,0.42257837388955943,0.9016277725023226
210366.90941217652,1.5124225863499052,1005.7961833097072,436.5812042269115,32.41109531437159,0.6363793304679177,5.480197836197505,277.4850358517278,176.54926115199243,278.0780780780781,308.7930031331669,0.9005323153587032,0.42257837388955943,0.9016277725023226
210366.90941217652,1.5124225863499052,1005.7961833097072,436.5812042269115,32.41109531437159,0.6172384690521238,5.494160018941798,273.3311473062438,176.54926115199243,278.0780780780781,308.7930031331669,0.9005323153587032,0.4141391932149216,0.9016277725023226
210366.90941217652,1.5124225863499052,1005.7961833097072,436.5812042269115,32.41109531437159,0.6172384690521238,5.494160018941798,273.3311473062438,176.54926115199243,278.0780780780781,308.7930031331669,0.9005323153587032,0.4141391932149216,0.9016277725023226
210366.90941217652,1.5124225863499052,1005.7961833097072,436.5812042269115,32.41109531437159,0.5988575924915631,5.503014320415147,269.4039648064783,176.54926115199243,278.0780780780781,308.7930031331669,0.9005323153587032,0.406137392348389,0.9016277725023226
210366.90941217652,1.5124225863499052,1005.7961833097072,436.5812042269115,32.41109531437159,0.5988575924915631,5.503014320415147,269.4039648064783,176.54926115199243,278.0780780780781,308.7930031331669,0.9005323153587032,0.406137392348389,0.9016277725023226
210366.90941217652,1.5124225863499052,1005.7961833097072,436.5812042269115,32.41109531437159,0.5988575924915631,5.503014320415147,269.4039648064783,176.54926115199243,278.0780780780781,308.7930031331669,0.9005323153587032,0.406137392348389,0.9016277725023226
210675.03238037822,1.5093026312508846,1005.1040998824222,435.38079737584087,35.095268550328456,0.6201429312043055,5.881424096510344,264.66974929613656,190.7598564873449,271.47147147147143,308.7930031331669,0.8791373791406777,0.4030621396646472,0.9167561865324937
210675.03238037822,1.5093026312508846,1005.1040998824222,435.38079737584087,35.095268550328456,0.6201429312043055,5.881424096510344,264.66974929613656,190.7598564873449,271.47147147147143,308.7930031331669,0.8791373791406777,0.4030621396646472,0.9167561865324937
210675.03238037822,1.5093026312508846,1005.1040998824222,435.38079737584087,35.095268550328456,0.6201429312043055,5.881424096510344,264.66974929613656,190.7598564873449,271.47147147147143,308.7930031331669,0.8791373791406777,0.4030621396646472,0.9167561865324937
210675.03238037822,1.5093026312508846,1005.1040998824222,435.38079737584087,35.095268550328456,0.6014904242232286,5.905535057992502,260.5327426581903,190.7598564873449,271.47147147147143,308.7930031331669,0.8791373791406777,0.3947476199250893,0.9167561865324937
210675.03238037822,1.5093026312508846,1005.1040998824222,435.38079737584087,35.095268550328456,0.6014904242232286,5.905535057992502,260.5327426581903,190.7598564873449,271.47147147147143,308.7930031331669,0.8791373791406777,0.3947476199250893,0.9167561865324937
210675.03238037822,1.5093026312508846,1005.1040998824222,435.38079737584087,35.095268550328456,0.6014904242232286,5.905535057992502,260.5327426581903,190.7598564873449,271.47147147147143,308.7930031331669,0.8791373791406777,0.3947476199250893,0.9167561865324937
